zone,date,PM2.5,PM10,NO2,SO2,CO,O3,temp,humidity,wind_speed,AQI,AQI_category,dominant_pollutant
Anand Vihar,2026-06-06,91.9,397.1,20.6,8.7,1.13,13.89,32.9,52.4,0.4,359.0,Very Poor,PM10
Anand Vihar,2026-06-08,55.0,449.0,19.0,8.3,0.97,25.82,34.8,44.1,0.4,412.0,Severe,PM10
Anand Vihar,2026-06-09,68.8,433.6,23.3,5.4,0.87,43.77,35.7,37.5,0.5,403.0,Severe,PM10
Anand Vihar,2026-06-10,33.6,323.8,23.9,5.7,1.05,22.32,34.6,42.8,0.4,500.0,Severe,CO
Anand Vihar,2026-06-11,39.3,197.8,21.5,5.5,0.83,53.99,31.9,52.5,0.7,165.0,Moderate,PM10
Anand Vihar,2026-06-12,50.7,123.7,20.8,6.7,1.08,19.69,28.2,70.0,1.0,500.0,Severe,CO
Anand Vihar,2026-06-13,56.3,202.7,31.2,7.3,1.57,65.53,29.7,58.0,0.4,169.0,Moderate,PM10
Anand Vihar,2026-06-14,87.1,346.8,33.3,6.7,0.77,55.44,31.9,50.3,0.4,297.0,Poor,PM10
Anand Vihar,2026-06-15,49.6,286.0,22.2,6.7,1.06,29.9,30.6,49.1,0.4,500.0,Severe,CO
Anand Vihar,2026-06-16,38.5,170.3,25.2,9.1,1.2,31.97,30.3,51.8,0.4,147.0,Moderate,PM10
Anand Vihar,2026-06-17,50.0,223.7,28.7,8.8,1.34,61.69,31.2,49.0,0.3,183.0,Moderate,PM10
Anand Vihar,2026-06-18,59.4,294.7,27.7,6.5,0.89,43.17,32.3,47.4,0.3,245.0,Poor,PM10
Anand Vihar,2026-06-19,51.2,286.0,21.3,5.7,1.12,47.31,33.3,43.7,0.3,236.0,Poor,PM10
Anand Vihar,2026-06-20,55.1,252.2,23.1,5.2,0.74,44.64,32.7,45.4,0.4,202.0,Poor,PM10
Anand Vihar,2026-06-21,46.9,215.3,21.7,3.7,1.16,30.8,31.9,48.4,0.4,177.0,Moderate,PM10
Anand Vihar,2026-06-22,55.3,382.9,26.0,4.7,1.29,47.85,31.8,44.9,0.4,341.0,Very Poor,PM10
Anand Vihar,2026-06-23,61.8,265.1,30.8,2.9,1.27,50.55,31.4,48.1,0.3,500.0,Severe,O3
Anand Vihar,2026-06-24,42.7,224.8,22.6,3.3,1.39,58.01,31.9,49.5,0.3,183.0,Moderate,PM10
Anand Vihar,2026-06-25,54.2,279.0,37.3,5.4,1.41,34.73,33.5,44.3,0.3,229.0,Poor,PM10
Anand Vihar,2026-06-26,46.6,208.9,23.4,4.7,2.65,29.75,33.4,51.1,0.4,173.0,Moderate,PM10
Anand Vihar,2026-06-27,55.4,248.2,20.2,2.4,2.41,43.7,34.0,49.8,0.3,199.0,Moderate,PM10
Anand Vihar,2026-06-28,68.3,273.5,26.8,3.8,2.12,40.88,34.7,47.9,0.3,224.0,Poor,PM10
Anand Vihar,2026-06-29,45.7,252.8,23.0,2.1,1.73,27.98,34.7,50.2,0.4,203.0,Poor,PM10
Anand Vihar,2026-06-30,62.1,347.6,16.1,2.5,1.44,17.05,35.0,53.8,0.4,298.0,Poor,PM10
Anand Vihar,2026-07-01,47.1,143.6,14.5,2.7,1.62,12.3,30.4,66.0,0.5,129.0,Moderate,PM10
Anand Vihar,2026-07-02,51.2,206.4,13.8,3.7,1.56,49.01,29.9,67.2,0.4,171.0,Moderate,PM10
Anand Vihar,2026-07-03,61.5,163.0,15.5,3.0,1.25,28.49,31.3,64.4,0.4,142.0,Moderate,PM10
Anand Vihar,2026-07-04,66.4,210.0,15.9,4.1,2.3,10.43,31.4,67.0,0.3,173.0,Moderate,PM10
Anand Vihar,2026-07-05,83.5,218.0,21.3,3.5,2.11,5.46,30.6,69.4,0.4,179.0,Moderate,PM10
Anand Vihar,2026-07-06,46.8,154.2,15.7,5.6,2.61,23.76,32.0,60.6,0.4,136.0,Moderate,PM10
Anand Vihar,2026-07-07,49.8,167.3,13.9,5.7,1.82,6.93,30.1,72.1,0.3,145.0,Moderate,PM10
Anand Vihar,2026-07-08,48.2,98.3,16.7,4.3,1.38,4.05,28.4,85.7,0.5,98.0,Satisfactory,PM10
Anand Vihar,2026-07-09,31.5,52.7,9.3,6.1,2.06,6.9,28.3,88.7,0.4,500.0,Severe,CO
Anand Vihar,2026-07-10,43.7,190.3,15.1,2.9,1.85,5.18,30.2,74.1,0.3,160.0,Moderate,PM10
Anand Vihar,2026-07-11,86.0,487.4,17.4,5.6,1.79,5.19,31.4,66.0,0.4,434.0,Severe,PM10
Anand Vihar,2026-07-12,96.2,687.7,18.6,6.4,1.45,8.0,32.1,60.0,0.4,500.0,Severe,PM10
Anand Vihar,2026-07-13,72.5,429.8,18.1,4.2,1.26,9.75,32.6,55.4,0.3,400.0,Very Poor,PM10
Anand Vihar,2026-07-14,69.3,392.5,21.2,4.9,1.27,28.04,32.9,56.5,0.4,353.0,Very Poor,PM10
Anand Vihar,2026-07-15,70.6,373.8,20.1,2.9,0.91,33.94,32.9,55.8,0.3,330.0,Very Poor,PM10
Anand Vihar,2026-07-16,76.3,392.3,19.4,3.4,1.48,33.09,33.4,52.7,0.3,353.0,Very Poor,PM10
Anand Vihar,2026-07-17,86.1,385.8,27.4,4.2,1.1,22.4,32.9,53.9,0.3,345.0,Very Poor,PM10
Anand Vihar,2026-07-18,81.5,416.1,20.9,6.0,2.31,22.92,32.9,54.7,0.3,383.0,Very Poor,PM10
Anand Vihar,2026-07-19,82.0,324.3,19.2,3.6,1.52,23.39,32.2,61.0,0.4,274.0,Poor,PM10
Anand Vihar,2026-07-20,64.9,156.8,14.8,4.4,1.32,6.55,30.3,79.4,0.4,138.0,Moderate,PM10
Anand Vihar,2026-07-21,77.5,178.0,17.4,4.4,0.7,0.9,30.1,85.1,0.3,157.0,Moderate,PM2.5
Ashok Vihar,2026-06-06,62.5,234.6,35.2,13.6,0.98,52.36,35.3,49.8,0.8,190.0,Moderate,PM10
Ashok Vihar,2026-06-07,29.6,172.6,20.6,16.6,0.65,41.11,35.9,43.5,1.3,149.0,Moderate,PM10
Ashok Vihar,2026-06-08,26.0,148.7,15.5,16.9,0.55,34.25,35.3,46.3,1.8,133.0,Moderate,PM10
Ashok Vihar,2026-06-09,35.8,334.6,17.3,18.3,0.48,64.94,38.7,34.6,2.4,285.0,Poor,PM10
Ashok Vihar,2026-06-10,35.9,199.8,23.2,13.5,0.54,33.94,36.7,42.6,1.5,167.0,Moderate,PM10
Ashok Vihar,2026-06-11,30.0,140.5,25.0,14.4,0.53,42.29,35.0,47.1,2.0,127.0,Moderate,PM10
Ashok Vihar,2026-06-12,29.4,84.1,19.4,11.0,0.83,22.1,33.2,59.3,2.6,84.0,Satisfactory,PM10
Ashok Vihar,2026-06-13,38.3,127.6,22.8,11.8,1.21,59.44,32.1,61.9,1.6,119.0,Moderate,PM10
Ashok Vihar,2026-06-14,61.1,183.3,28.4,12.8,0.98,40.56,34.4,53.3,0.6,156.0,Moderate,PM10
Ashok Vihar,2026-06-15,27.8,178.3,21.1,13.5,1.07,28.74,33.1,48.6,1.6,500.0,Severe,CO
Ashok Vihar,2026-06-16,39.0,123.5,32.7,12.4,1.27,29.23,31.8,56.2,0.8,116.0,Moderate,PM10
Ashok Vihar,2026-06-17,29.5,100.1,20.6,12.4,1.11,35.88,33.9,50.1,0.7,500.0,Severe,PM10
Ashok Vihar,2026-06-18,47.8,169.6,20.7,14.9,0.92,31.6,34.9,49.4,1.3,147.0,Moderate,PM10
Ashok Vihar,2026-06-19,35.0,172.1,16.6,13.6,1.02,38.26,34.8,47.8,1.2,500.0,Severe,CO
Ashok Vihar,2026-06-20,41.7,154.7,22.1,16.3,1.26,31.01,35.7,46.3,0.9,137.0,Moderate,PM10
Ashok Vihar,2026-06-21,36.6,154.3,17.9,14.2,0.63,25.82,34.6,49.1,2.1,136.0,Moderate,PM10
Ashok Vihar,2026-06-22,33.4,290.3,19.2,12.6,1.12,34.34,34.6,44.9,1.0,240.0,Poor,PM10
Ashok Vihar,2026-06-23,52.2,188.1,29.9,17.3,1.27,37.93,34.1,48.6,1.1,159.0,Moderate,PM10
Ashok Vihar,2026-06-24,27.8,123.1,27.7,12.8,1.3,35.67,34.2,55.9,1.3,116.0,Moderate,PM10
Ashok Vihar,2026-06-25,38.4,159.9,32.7,12.8,0.81,34.04,35.2,53.7,0.7,140.0,Moderate,PM10
Ashok Vihar,2026-06-26,26.9,120.0,19.3,9.1,0.98,40.2,36.0,48.8,0.8,114.0,Moderate,PM10
Ashok Vihar,2026-06-27,43.1,167.5,23.9,10.4,1.14,38.36,36.3,49.9,0.7,145.0,Moderate,PM10
Ashok Vihar,2026-06-28,40.2,166.4,26.1,11.6,1.01,37.6,36.6,48.1,0.5,500.0,Severe,CO
Ashok Vihar,2026-06-29,41.2,185.0,22.9,10.9,0.75,25.36,36.8,47.1,1.2,157.0,Moderate,PM10
Ashok Vihar,2026-06-30,40.7,227.5,22.6,8.4,1.06,16.96,35.5,53.4,1.3,500.0,Severe,CO
Ashok Vihar,2026-07-01,34.2,122.2,22.1,8.2,0.94,10.25,32.9,70.2,0.9,115.0,Moderate,PM10
Ashok Vihar,2026-07-02,34.2,99.0,21.4,10.0,1.14,28.45,32.2,71.0,0.6,99.0,Satisfactory,PM10
Ashok Vihar,2026-07-03,36.0,105.3,21.5,10.4,1.18,10.6,33.1,70.9,0.5,104.0,Moderate,PM10
Ashok Vihar,2026-07-04,53.8,126.5,30.0,12.3,1.75,7.15,33.3,72.9,0.3,118.0,Moderate,PM10
Ashok Vihar,2026-07-05,43.8,100.4,28.4,9.0,1.04,3.46,32.2,79.3,0.7,500.0,Severe,PM10
Ashok Vihar,2026-07-06,37.6,98.8,27.6,10.5,1.1,10.68,34.0,70.1,0.5,99.0,Satisfactory,PM10
Ashok Vihar,2026-07-07,54.4,112.3,24.3,9.7,0.85,4.83,32.0,80.2,0.8,109.0,Moderate,PM10
Ashok Vihar,2026-07-08,22.7,43.5,23.1,9.3,1.03,4.31,30.5,85.4,0.8,500.0,Severe,CO
Ashok Vihar,2026-07-09,9.4,33.0,11.6,9.0,0.89,6.08,30.3,85.9,1.1,44.0,Good,CO
Ashok Vihar,2026-07-10,23.1,85.1,15.4,9.7,1.14,13.84,32.3,75.1,0.7,85.0,Satisfactory,PM10
Ashok Vihar,2026-07-11,47.8,267.2,20.0,8.8,1.45,6.71,33.5,69.5,0.6,217.0,Poor,PM10
Ashok Vihar,2026-07-12,63.3,418.5,19.9,8.7,0.84,9.16,34.4,63.2,1.1,386.0,Very Poor,PM10
Ashok Vihar,2026-07-13,46.6,207.2,16.6,7.1,0.59,14.65,34.9,57.5,1.1,172.0,Moderate,PM10
Ashok Vihar,2026-07-14,49.4,207.5,23.3,8.4,1.04,11.23,33.8,61.8,1.0,500.0,Severe,CO
Ashok Vihar,2026-07-15,47.8,198.0,18.5,9.1,1.06,13.99,34.9,57.8,0.8,500.0,Severe,CO
Ashok Vihar,2026-07-16,54.7,244.3,20.8,8.4,1.07,17.05,35.9,53.6,0.8,500.0,Severe,CO
Ashok Vihar,2026-07-17,61.3,268.3,35.3,9.3,1.9,7.4,33.9,63.2,0.3,218.0,Poor,PM10
Ashok Vihar,2026-07-18,50.3,222.8,26.3,7.4,0.98,12.69,35.0,56.3,0.7,182.0,Moderate,PM10
Ashok Vihar,2026-07-19,50.0,202.8,24.3,5.9,0.98,12.8,34.9,59.2,0.5,169.0,Moderate,PM10
Ashok Vihar,2026-07-20,46.2,140.1,18.0,7.2,1.28,8.43,32.1,78.6,0.3,127.0,Moderate,PM10
Ashok Vihar,2026-07-21,34.0,85.5,14.8,1.9,1.0,7.2,29.9,87.5,0.3,86.0,Satisfactory,PM10
Bawana,2026-06-06,60.1,200.6,9.3,3.2,1.05,14.55,34.4,50.2,0.4,500.0,Severe,PM2.5
Bawana,2026-06-07,45.7,157.9,5.4,3.0,0.81,14.46,34.1,49.3,0.6,139.0,Moderate,PM10
Bawana,2026-06-08,37.6,140.7,5.7,4.0,0.69,6.65,32.5,53.6,0.5,127.0,Moderate,PM10
Bawana,2026-06-09,42.2,201.4,4.3,3.4,0.8,27.78,37.6,36.0,1.5,168.0,Moderate,PM10
Bawana,2026-06-10,39.2,189.1,6.0,2.8,0.57,9.93,35.6,44.9,0.9,160.0,Moderate,PM10
Bawana,2026-06-11,40.6,167.9,7.8,3.7,0.88,13.06,33.9,50.4,2.3,145.0,Moderate,PM10
Bawana,2026-06-12,33.0,70.0,5.2,2.1,1.36,9.23,31.0,63.4,2.0,70.0,Satisfactory,PM10
Bawana,2026-06-13,46.4,120.2,8.1,2.2,1.19,22.0,31.3,62.1,0.4,114.0,Moderate,PM10
Bawana,2026-06-14,94.6,209.8,10.0,5.0,1.35,16.1,33.4,55.1,0.5,213.0,Poor,PM2.5
Bawana,2026-06-15,48.5,175.0,7.8,3.5,0.95,10.53,31.8,53.1,0.7,150.0,Moderate,PM10
Bawana,2026-06-16,42.5,86.9,8.5,3.2,0.8,8.68,30.2,62.0,0.7,87.0,Satisfactory,PM10
Bawana,2026-06-17,44.5,109.4,6.4,4.8,1.39,14.79,32.5,56.4,0.3,107.0,Moderate,PM10
Bawana,2026-06-18,77.3,194.9,6.9,7.5,1.14,9.12,33.6,54.2,0.5,163.0,Moderate,PM10
Bawana,2026-06-19,46.3,155.3,5.1,4.8,1.07,11.36,33.4,52.8,0.4,500.0,Severe,CO
Bawana,2026-06-20,54.9,145.9,6.2,7.3,1.04,9.53,34.1,52.1,0.5,500.0,Severe,CO
Bawana,2026-06-21,49.4,111.9,5.0,5.2,1.15,8.68,33.3,53.6,0.6,108.0,Moderate,PM10
Bawana,2026-06-22,41.4,253.9,5.8,6.7,0.88,12.38,32.9,50.2,0.5,204.0,Poor,PM10
Bawana,2026-06-23,71.2,177.2,9.0,7.1,1.17,10.14,33.0,51.9,0.6,152.0,Moderate,PM10
Bawana,2026-06-24,46.2,117.0,7.8,3.2,1.04,9.26,33.9,52.8,0.5,500.0,Severe,CO
Bawana,2026-06-25,47.6,141.7,8.1,2.5,1.07,10.05,35.1,48.3,0.6,500.0,Severe,CO
Bawana,2026-06-26,51.1,89.6,6.0,2.5,0.86,7.14,32.6,59.6,0.6,90.0,Satisfactory,PM10
Bawana,2026-06-27,76.3,130.4,8.0,2.0,1.11,4.68,34.3,60.7,0.3,153.0,Moderate,PM2.5
Bawana,2026-06-28,56.2,119.3,7.0,2.4,1.17,5.29,34.9,54.5,0.4,113.0,Moderate,PM10
Bawana,2026-06-29,46.3,142.9,5.1,3.2,0.72,4.21,36.3,48.9,0.7,129.0,Moderate,PM10
Bawana,2026-06-30,49.8,202.1,6.0,2.1,0.9,3.89,35.5,50.9,0.9,168.0,Moderate,PM10
Bawana,2026-07-01,59.2,94.8,6.4,1.5,2.03,1.51,32.2,68.6,0.8,500.0,Severe,CO
Bawana,2026-07-02,59.8,79.2,5.5,1.4,0.98,4.42,30.9,73.7,0.4,100.0,Satisfactory,PM2.5
Bawana,2026-07-03,157.4,122.5,6.1,1.4,1.3,4.15,33.6,67.4,0.4,329.0,Very Poor,PM2.5
Bawana,2026-07-04,130.5,173.5,7.7,1.5,1.74,2.36,31.6,82.6,0.3,308.0,Very Poor,PM2.5
Bawana,2026-07-05,86.0,124.4,7.7,1.1,1.38,2.2,31.0,84.3,0.4,186.0,Moderate,PM2.5
Bawana,2026-07-06,67.5,125.7,6.0,1.7,1.04,2.1,33.2,70.2,0.3,500.0,Severe,CO
Bawana,2026-07-07,54.3,122.3,7.3,1.1,1.13,1.54,31.3,80.2,0.3,115.0,Moderate,PM10
Bawana,2026-07-08,42.5,102.4,5.2,1.2,1.18,1.85,30.0,87.1,0.3,102.0,Moderate,PM10
Bawana,2026-07-09,23.4,85.0,3.3,1.1,0.83,1.99,30.0,84.5,1.4,85.0,Satisfactory,PM10
Bawana,2026-07-10,30.2,98.6,2.5,0.9,0.96,2.2,31.6,74.7,0.4,500.0,Severe,PM2.5
Bawana,2026-07-11,58.9,257.0,4.3,0.8,0.95,2.85,32.9,69.2,0.3,207.0,Poor,PM10
Bawana,2026-07-12,62.0,393.0,3.8,1.4,1.0,3.55,33.6,64.8,0.4,354.0,Very Poor,PM10
Bawana,2026-07-13,44.7,198.7,2.4,1.7,0.83,3.67,33.5,63.5,0.7,166.0,Moderate,PM10
Bawana,2026-07-14,39.9,189.7,1.8,2.0,0.63,3.55,33.2,65.7,0.4,160.0,Moderate,PM10
Bawana,2026-07-15,45.6,184.7,2.3,2.4,1.38,3.46,32.9,64.3,0.3,157.0,Moderate,PM10
Bawana,2026-07-16,86.9,221.9,2.9,2.7,0.92,4.32,35.1,54.7,0.5,189.0,Moderate,PM2.5
Bawana,2026-07-17,100.4,236.7,3.4,2.5,0.51,3.38,34.9,55.1,0.3,233.0,Poor,PM2.5
Bawana,2026-07-18,99.6,232.5,4.5,2.5,0.84,3.6,33.8,59.8,0.3,230.0,Poor,PM2.5
Bawana,2026-07-19,96.9,196.6,3.3,2.2,0.77,3.48,33.6,60.0,0.3,221.0,Poor,PM2.5
Bawana,2026-07-20,,62.0,4.5,2.8,,3.9,,,,62.0,Satisfactory,PM10
Bawana,2026-07-21,,62.0,2.8,,,7.6,,,,62.0,Satisfactory,PM10
Dwarka,2026-06-06,56.2,314.0,50.9,12.6,0.95,56.53,34.6,49.3,0.5,264.0,Poor,PM10
Dwarka,2026-06-07,31.3,190.0,40.2,15.2,1.19,33.67,33.5,52.1,0.6,500.0,Severe,NO2
Dwarka,2026-06-08,26.3,180.8,32.7,15.1,0.49,17.51,32.4,55.1,0.6,154.0,Moderate,PM10
Dwarka,2026-06-09,32.8,243.0,29.4,18.9,0.55,47.95,37.6,36.7,1.0,195.0,Moderate,PM10
Dwarka,2026-06-10,41.6,289.0,42.4,13.9,1.05,32.88,36.1,43.3,0.8,500.0,Severe,CO
Dwarka,2026-06-11,34.1,170.2,33.1,16.6,0.49,42.67,34.5,47.9,1.3,147.0,Moderate,PM10
Dwarka,2026-06-12,21.4,79.1,25.1,8.5,0.85,38.3,31.3,62.8,1.5,79.0,Satisfactory,PM10
Dwarka,2026-06-13,28.3,131.9,43.8,15.1,1.16,69.1,31.8,58.4,0.6,122.0,Moderate,PM10
Dwarka,2026-06-14,52.2,215.1,43.2,17.5,0.65,50.91,34.1,52.2,0.5,500.0,Severe,O3
Dwarka,2026-06-15,31.9,168.8,39.2,14.9,1.25,36.04,32.0,53.9,0.6,146.0,Moderate,PM10
Dwarka,2026-06-16,35.1,153.5,50.6,10.5,0.9,30.58,30.6,62.9,0.7,136.0,Moderate,PM10
Dwarka,2026-06-17,31.9,173.0,35.5,15.0,1.1,45.59,32.6,56.3,0.5,149.0,Moderate,PM10
Dwarka,2026-06-18,58.8,258.2,36.6,20.8,1.04,34.29,33.8,54.5,0.6,500.0,Severe,CO
Dwarka,2026-06-19,31.1,183.2,26.0,16.7,0.91,38.03,33.9,50.3,0.7,156.0,Moderate,PM10
Dwarka,2026-06-20,47.2,212.5,34.1,11.5,0.79,33.9,34.6,49.2,0.7,175.0,Moderate,PM10
Dwarka,2026-06-21,25.4,137.2,20.8,14.3,0.48,30.79,33.3,52.4,0.8,125.0,Moderate,PM10
