zone,param,timestamp,value
Anand Vihar,PM10,2026-06-06 02:00:00,438.0
Anand Vihar,PM10,2026-06-06 03:00:00,444.0
Anand Vihar,PM10,2026-06-06 04:00:00,610.0
Anand Vihar,PM10,2026-06-06 05:00:00,530.0
Anand Vihar,PM10,2026-06-06 06:00:00,478.0
Anand Vihar,PM10,2026-06-06 07:00:00,309.0
Anand Vihar,PM10,2026-06-06 08:00:00,279.0
Anand Vihar,PM10,2026-06-06 09:00:00,359.0
Anand Vihar,PM10,2026-06-06 10:00:00,383.0
Anand Vihar,PM10,2026-06-06 11:00:00,329.0
Anand Vihar,PM10,2026-06-06 12:00:00,454.0
Anand Vihar,PM10,2026-06-06 13:00:00,362.0
Anand Vihar,PM10,2026-06-06 14:00:00,323.0
Anand Vihar,PM10,2026-06-06 15:00:00,327.0
Anand Vihar,PM10,2026-06-06 16:00:00,331.0
Anand Vihar,PM10,2026-06-08 08:00:00,555.0
Anand Vihar,PM10,2026-06-08 09:00:00,547.0
Anand Vihar,PM10,2026-06-08 10:00:00,472.0
Anand Vihar,PM10,2026-06-08 11:00:00,429.0
Anand Vihar,PM10,2026-06-08 12:00:00,351.0
Anand Vihar,PM10,2026-06-08 13:00:00,340.0
Anand Vihar,PM10,2026-06-09 08:00:00,393.0
Anand Vihar,PM10,2026-06-09 09:00:00,638.0
Anand Vihar,PM10,2026-06-09 10:00:00,736.0
Anand Vihar,PM10,2026-06-09 11:00:00,522.0
Anand Vihar,PM10,2026-06-09 12:00:00,384.0
Anand Vihar,PM10,2026-06-09 13:00:00,280.0
Anand Vihar,PM10,2026-06-09 14:00:00,310.0
Anand Vihar,PM10,2026-06-09 15:00:00,249.0
Anand Vihar,PM10,2026-06-09 16:00:00,288.0
Anand Vihar,PM10,2026-06-09 17:00:00,304.0
Anand Vihar,PM10,2026-06-09 18:00:00,975.0
Anand Vihar,PM10,2026-06-09 21:00:00,475.0
Anand Vihar,PM10,2026-06-09 22:00:00,223.0
Anand Vihar,PM10,2026-06-09 23:00:00,294.0
Anand Vihar,PM10,2026-06-10 00:00:00,531.0
Anand Vihar,PM10,2026-06-10 01:00:00,244.0
Anand Vihar,PM10,2026-06-10 02:00:00,183.0
Anand Vihar,PM10,2026-06-10 03:00:00,241.0
Anand Vihar,PM10,2026-06-10 04:00:00,197.0
Anand Vihar,PM10,2026-06-10 05:00:00,338.0
Anand Vihar,PM10,2026-06-10 10:00:00,517.0
Anand Vihar,PM10,2026-06-10 11:00:00,293.0
Anand Vihar,PM10,2026-06-10 12:00:00,
Anand Vihar,PM10,2026-06-10 13:00:00,
Anand Vihar,PM10,2026-06-10 14:00:00,
Anand Vihar,PM10,2026-06-10 15:00:00,
Anand Vihar,PM10,2026-06-10 16:00:00,
Anand Vihar,PM10,2026-06-10 17:00:00,
Anand Vihar,PM10,2026-06-10 23:00:00,370.0
Anand Vihar,PM10,2026-06-11 00:00:00,366.0
Anand Vihar,PM10,2026-06-11 01:00:00,372.0
Anand Vihar,PM10,2026-06-11 02:00:00,233.0
Anand Vihar,PM10,2026-06-11 03:00:00,184.0
Anand Vihar,PM10,2026-06-11 04:00:00,163.0
Anand Vihar,PM10,2026-06-11 05:00:00,171.0
Anand Vihar,PM10,2026-06-11 06:00:00,193.0
Anand Vihar,PM10,2026-06-11 07:00:00,190.0
Anand Vihar,PM10,2026-06-11 08:00:00,173.0
Anand Vihar,PM10,2026-06-11 09:00:00,472.0
Anand Vihar,PM10,2026-06-11 10:00:00,219.0
Anand Vihar,PM10,2026-06-11 11:00:00,174.0
Anand Vihar,PM10,2026-06-11 12:00:00,158.0
Anand Vihar,PM10,2026-06-11 13:00:00,141.0
Anand Vihar,PM10,2026-06-11 14:00:00,132.0
Anand Vihar,PM10,2026-06-11 15:00:00,161.0
Anand Vihar,PM10,2026-06-11 16:00:00,136.0
Anand Vihar,PM10,2026-06-11 17:00:00,152.0
Anand Vihar,PM10,2026-06-11 18:00:00,153.0
Anand Vihar,PM10,2026-06-11 19:00:00,149.0
Anand Vihar,PM10,2026-06-11 20:00:00,177.0
Anand Vihar,PM10,2026-06-11 21:00:00,160.0
Anand Vihar,PM10,2026-06-11 22:00:00,139.0
Anand Vihar,PM10,2026-06-11 23:00:00,178.0
Anand Vihar,PM10,2026-06-12 00:00:00,95.0
Anand Vihar,PM10,2026-06-12 01:00:00,33.0
Anand Vihar,PM10,2026-06-12 02:00:00,44.0
Anand Vihar,PM10,2026-06-12 03:00:00,77.0
Anand Vihar,PM10,2026-06-12 04:00:00,96.0
Anand Vihar,PM10,2026-06-12 05:00:00,163.0
Anand Vihar,PM10,2026-06-12 06:00:00,163.0
Anand Vihar,PM10,2026-06-12 07:00:00,135.0
Anand Vihar,PM10,2026-06-12 17:00:00,146.0
Anand Vihar,PM10,2026-06-12 18:00:00,207.0
Anand Vihar,PM10,2026-06-12 19:00:00,124.0
Anand Vihar,PM10,2026-06-12 20:00:00,166.0
Anand Vihar,PM10,2026-06-12 21:00:00,145.0
Anand Vihar,PM10,2026-06-12 22:00:00,129.0
Anand Vihar,PM10,2026-06-12 23:00:00,133.0
Anand Vihar,PM10,2026-06-13 00:00:00,50.0
Anand Vihar,PM10,2026-06-13 01:00:00,81.0
Anand Vihar,PM10,2026-06-13 02:00:00,40.0
Anand Vihar,PM10,2026-06-13 03:00:00,50.0
Anand Vihar,PM10,2026-06-13 04:00:00,36.0
Anand Vihar,PM10,2026-06-13 05:00:00,229.0
Anand Vihar,PM10,2026-06-13 06:00:00,259.0
Anand Vihar,PM10,2026-06-13 07:00:00,143.0
Anand Vihar,PM10,2026-06-13 08:00:00,190.0
Anand Vihar,PM10,2026-06-13 09:00:00,240.0
Anand Vihar,PM10,2026-06-13 10:00:00,130.0
Anand Vihar,PM10,2026-06-13 11:00:00,162.0
Anand Vihar,PM10,2026-06-13 12:00:00,85.0
Anand Vihar,PM10,2026-06-13 13:00:00,
Anand Vihar,PM10,2026-06-13 14:00:00,261.0
Anand Vihar,PM10,2026-06-13 15:00:00,235.0
Anand Vihar,PM10,2026-06-13 16:00:00,249.0
Anand Vihar,PM10,2026-06-13 17:00:00,291.0
Anand Vihar,PM10,2026-06-13 18:00:00,324.0
Anand Vihar,PM10,2026-06-13 19:00:00,291.0
Anand Vihar,PM10,2026-06-13 20:00:00,333.0
Anand Vihar,PM10,2026-06-13 21:00:00,348.0
Anand Vihar,PM10,2026-06-13 22:00:00,249.0
Anand Vihar,PM10,2026-06-13 23:00:00,387.0
Anand Vihar,PM10,2026-06-14 00:00:00,480.0
Anand Vihar,PM10,2026-06-14 01:00:00,511.0
Anand Vihar,PM10,2026-06-14 02:00:00,442.0
Anand Vihar,PM10,2026-06-14 03:00:00,504.0
Anand Vihar,PM10,2026-06-14 04:00:00,443.0
Anand Vihar,PM10,2026-06-14 05:00:00,337.0
Anand Vihar,PM10,2026-06-14 06:00:00,315.0
Anand Vihar,PM10,2026-06-14 07:00:00,427.0
Anand Vihar,PM10,2026-06-14 08:00:00,313.0
Anand Vihar,PM10,2026-06-14 09:00:00,295.0
Anand Vihar,PM10,2026-06-14 10:00:00,251.0
