zone,param,timestamp,value
Mundka,NO2,2026-06-06 02:00:00,114.5
Mundka,NO2,2026-06-06 03:00:00,110.8
Mundka,NO2,2026-06-06 04:00:00,127.5
Mundka,NO2,2026-06-06 05:00:00,117.2
Mundka,NO2,2026-06-06 06:00:00,96.1
Mundka,NO2,2026-06-06 07:00:00,99.0
Mundka,NO2,2026-06-06 08:00:00,78.2
Mundka,NO2,2026-06-06 09:00:00,73.4
Mundka,NO2,2026-06-06 10:00:00,81.9
Mundka,NO2,2026-06-06 11:00:00,85.0
Mundka,NO2,2026-06-06 12:00:00,99.2
Mundka,NO2,2026-06-06 13:00:00,82.5
Mundka,NO2,2026-06-06 14:00:00,78.5
Mundka,NO2,2026-06-06 15:00:00,82.4
Mundka,NO2,2026-06-06 16:00:00,88.6
Mundka,NO2,2026-06-06 17:00:00,79.2
Mundka,NO2,2026-06-06 18:00:00,89.0
Mundka,NO2,2026-06-06 19:00:00,93.2
Mundka,NO2,2026-06-06 20:00:00,87.2
Mundka,NO2,2026-06-06 21:00:00,98.5
Mundka,NO2,2026-06-06 22:00:00,90.1
Mundka,NO2,2026-06-06 23:00:00,96.3
Mundka,NO2,2026-06-07 00:00:00,88.1
Mundka,NO2,2026-06-07 01:00:00,86.5
Mundka,NO2,2026-06-07 02:00:00,81.8
Mundka,NO2,2026-06-07 03:00:00,83.4
Mundka,NO2,2026-06-07 04:00:00,94.9
Mundka,NO2,2026-06-07 05:00:00,98.4
Mundka,NO2,2026-06-07 06:00:00,93.2
Mundka,NO2,2026-06-07 13:00:00,77.3
Mundka,NO2,2026-06-07 14:00:00,93.0
Mundka,NO2,2026-06-07 15:00:00,79.5
Mundka,NO2,2026-06-07 16:00:00,79.4
Mundka,NO2,2026-06-07 17:00:00,74.9
Mundka,NO2,2026-06-07 18:00:00,86.5
Mundka,NO2,2026-06-07 19:00:00,87.9
Mundka,NO2,2026-06-07 20:00:00,73.2
Mundka,NO2,2026-06-07 21:00:00,82.2
Mundka,NO2,2026-06-07 22:00:00,83.8
Mundka,NO2,2026-06-07 23:00:00,95.5
Mundka,NO2,2026-06-08 00:00:00,101.6
Mundka,NO2,2026-06-08 01:00:00,89.3
Mundka,NO2,2026-06-08 02:00:00,86.7
Mundka,NO2,2026-06-08 03:00:00,83.4
Mundka,NO2,2026-06-08 04:00:00,79.4
Mundka,NO2,2026-06-08 05:00:00,81.1
Mundka,NO2,2026-06-08 06:00:00,85.6
Mundka,NO2,2026-06-08 07:00:00,83.4
Mundka,NO2,2026-06-08 08:00:00,86.8
Mundka,NO2,2026-06-08 09:00:00,80.7
Mundka,NO2,2026-06-08 10:00:00,80.3
Mundka,NO2,2026-06-08 11:00:00,74.5
Mundka,NO2,2026-06-09 08:00:00,75.9
Mundka,NO2,2026-06-09 09:00:00,81.3
Mundka,NO2,2026-06-09 10:00:00,90.6
Mundka,NO2,2026-06-09 11:00:00,86.1
Mundka,NO2,2026-06-09 12:00:00,85.2
Mundka,NO2,2026-06-09 13:00:00,75.6
Mundka,NO2,2026-06-09 14:00:00,80.8
Mundka,NO2,2026-06-09 15:00:00,81.1
Mundka,NO2,2026-06-09 16:00:00,87.0
Mundka,NO2,2026-06-09 17:00:00,93.6
Mundka,NO2,2026-06-09 18:00:00,105.1
Mundka,NO2,2026-06-09 19:00:00,86.1
Mundka,NO2,2026-06-09 20:00:00,85.1
Mundka,NO2,2026-06-09 21:00:00,90.2
Mundka,NO2,2026-06-09 22:00:00,94.0
Mundka,NO2,2026-06-09 23:00:00,73.9
Mundka,NO2,2026-06-10 00:00:00,73.2
Mundka,NO2,2026-06-10 01:00:00,86.3
Mundka,NO2,2026-06-10 02:00:00,69.3
Mundka,NO2,2026-06-10 03:00:00,100.4
Mundka,NO2,2026-06-10 04:00:00,89.3
Mundka,NO2,2026-06-10 05:00:00,97.4
Mundka,NO2,2026-06-10 06:00:00,92.6
Mundka,NO2,2026-06-10 07:00:00,91.1
Mundka,NO2,2026-06-10 08:00:00,84.3
Mundka,NO2,2026-06-10 09:00:00,81.0
Mundka,NO2,2026-06-10 10:00:00,75.9
Mundka,NO2,2026-06-10 11:00:00,74.0
Mundka,NO2,2026-06-10 12:00:00,75.1
Mundka,NO2,2026-06-10 13:00:00,77.3
Mundka,NO2,2026-06-10 14:00:00,77.3
Mundka,NO2,2026-06-10 15:00:00,74.7
