zone,param,timestamp,value
Okhla,humidity,2026-06-06 08:00:00,57.3
Okhla,humidity,2026-06-06 09:00:00,53.7
Okhla,humidity,2026-06-06 10:00:00,48.7
Okhla,humidity,2026-06-06 11:00:00,44.9
Okhla,humidity,2026-06-06 12:00:00,40.9
Okhla,humidity,2026-06-06 13:00:00,39.0
Okhla,humidity,2026-06-06 14:00:00,40.1
Okhla,humidity,2026-06-06 15:00:00,39.0
Okhla,humidity,2026-06-06 16:00:00,37.0
Okhla,humidity,2026-06-06 17:00:00,38.3
Okhla,humidity,2026-06-06 18:00:00,40.2
Okhla,humidity,2026-06-06 19:00:00,43.8
Okhla,humidity,2026-06-06 20:00:00,45.0
Okhla,humidity,2026-06-06 21:00:00,45.6
Okhla,humidity,2026-06-06 22:00:00,48.1
Okhla,humidity,2026-06-06 23:00:00,50.0
Okhla,humidity,2026-06-07 00:00:00,52.0
Okhla,humidity,2026-06-07 01:00:00,56.2
Okhla,humidity,2026-06-07 02:00:00,57.6
Okhla,humidity,2026-06-07 03:00:00,57.1
Okhla,humidity,2026-06-07 13:00:00,38.2
Okhla,humidity,2026-06-07 14:00:00,36.7
Okhla,humidity,2026-06-07 15:00:00,36.7
Okhla,humidity,2026-06-07 16:00:00,36.6
Okhla,humidity,2026-06-07 17:00:00,37.8
Okhla,humidity,2026-06-07 18:00:00,38.7
Okhla,humidity,2026-06-07 19:00:00,40.7
Okhla,humidity,2026-06-07 20:00:00,44.4
Okhla,humidity,2026-06-07 21:00:00,46.3
Okhla,humidity,2026-06-07 22:00:00,50.2
Okhla,humidity,2026-06-07 23:00:00,49.4
Okhla,humidity,2026-06-08 00:00:00,52.1
Okhla,humidity,2026-06-08 01:00:00,54.1
Okhla,humidity,2026-06-08 02:00:00,51.7
Okhla,humidity,2026-06-08 03:00:00,52.6
Okhla,humidity,2026-06-08 04:00:00,54.2
Okhla,humidity,2026-06-08 05:00:00,55.0
Okhla,humidity,2026-06-08 06:00:00,55.6
Okhla,humidity,2026-06-08 07:00:00,55.1
Okhla,humidity,2026-06-08 08:00:00,53.5
Okhla,humidity,2026-06-08 09:00:00,50.0
Okhla,humidity,2026-06-08 10:00:00,46.5
Okhla,humidity,2026-06-08 11:00:00,42.3
Okhla,humidity,2026-06-09 08:00:00,50.7
Okhla,humidity,2026-06-09 09:00:00,48.1
Okhla,humidity,2026-06-09 10:00:00,45.0
Okhla,humidity,2026-06-09 11:00:00,40.1
Okhla,humidity,2026-06-09 12:00:00,34.9
Okhla,humidity,2026-06-09 13:00:00,31.7
Okhla,humidity,2026-06-09 14:00:00,30.8
Okhla,humidity,2026-06-09 15:00:00,30.6
Okhla,humidity,2026-06-09 16:00:00,30.1
Okhla,humidity,2026-06-09 19:00:00,39.7
Okhla,humidity,2026-06-09 20:00:00,36.6
Okhla,humidity,2026-06-09 21:00:00,37.7
Okhla,humidity,2026-06-09 22:00:00,38.7
Okhla,humidity,2026-06-09 23:00:00,37.1
Okhla,humidity,2026-06-10 00:00:00,62.4
Okhla,humidity,2026-06-10 01:00:00,69.9
Okhla,humidity,2026-06-10 02:00:00,64.0
Okhla,humidity,2026-06-10 03:00:00,67.3
Okhla,humidity,2026-06-10 04:00:00,59.3
Okhla,humidity,2026-06-10 05:00:00,64.6
Okhla,humidity,2026-06-10 06:00:00,59.0
Okhla,humidity,2026-06-10 07:00:00,55.5
Okhla,humidity,2026-06-10 08:00:00,53.4
Okhla,humidity,2026-06-10 09:00:00,52.1
Okhla,humidity,2026-06-10 10:00:00,50.6
Okhla,humidity,2026-06-10 11:00:00,47.6
Okhla,humidity,2026-06-10 12:00:00,42.4
Okhla,humidity,2026-06-10 13:00:00,40.0
Okhla,humidity,2026-06-10 14:00:00,38.7
Okhla,humidity,2026-06-10 15:00:00,36.7
Okhla,humidity,2026-06-10 16:00:00,35.4
Okhla,humidity,2026-06-10 17:00:00,36.9
Okhla,humidity,2026-06-10 18:00:00,38.7
Okhla,humidity,2026-06-10 19:00:00,41.2
Okhla,humidity,2026-06-10 20:00:00,50.0
Okhla,humidity,2026-06-10 21:00:00,54.5
Okhla,humidity,2026-06-10 23:00:00,53.6
Okhla,humidity,2026-06-11 10:00:00,55.0
Okhla,humidity,2026-06-11 11:00:00,51.5
Okhla,humidity,2026-06-11 12:00:00,48.5
Okhla,humidity,2026-06-11 13:00:00,45.2
Okhla,humidity,2026-06-11 14:00:00,43.2
Okhla,humidity,2026-06-11 15:00:00,41.7
Okhla,humidity,2026-06-11 16:00:00,41.7
Okhla,humidity,2026-06-11 17:00:00,44.5
Okhla,humidity,2026-06-11 18:00:00,51.2
Okhla,humidity,2026-06-11 19:00:00,55.6
Okhla,humidity,2026-06-11 20:00:00,58.6
