rto_code,vehicle_category,fuel_type,vehicle_count,data_period,source_citation
DL8,M-Cycle/Scooter,ALL,31867,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL8,Moped,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL8,Adapted Vehicle,ALL,10,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL8,Motor Car,ALL,12504,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL8,e-Rickshaw with Cart (G),ALL,122,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL8,e-Rickshaw(P),ALL,309,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL10,M-Cycle/Scooter,ALL,11373,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL10,Adapted Vehicle,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL10,Motor Car,ALL,12726,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL10,e-Rickshaw with Cart (G),ALL,17,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL10,e-Rickshaw(P),ALL,42,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,M-Cycle/Scooter,ALL,18527,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,M-Cycle/Scooter-With Side Car,ALL,10,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,Moped,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,Motor Car,ALL,8336,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,Fork Lift,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,e-Rickshaw with Cart (G),ALL,3,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL7,e-Rickshaw(P),ALL,3,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL12,M-Cycle/Scooter,ALL,9090,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL12,M-Cycle/Scooter-With Side Car,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL12,Adapted Vehicle,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL12,Motor Car,ALL,11003,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL13,M-Cycle/Scooter,ALL,29047,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL13,M-Cycle/Scooter-With Side Car,ALL,3,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL13,Moped,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL13,Motor Car,ALL,9835,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL13,e-Rickshaw with Cart (G),ALL,43,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL13,e-Rickshaw(P),ALL,91,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL11,M-Cycle/Scooter,ALL,32432,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL11,Adapted Vehicle,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL11,Motor Car,ALL,6520,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL11,e-Rickshaw with Cart (G),ALL,229,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL11,e-Rickshaw(P),ALL,471,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL6,M-Cycle/Scooter,ALL,14919,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL6,M-Cycle/Scooter-With Side Car,ALL,3,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL6,Moped,ALL,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL6,Adapted Vehicle,ALL,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
DL6,Motor Car,ALL,2572,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Vehicle Class), accessed 2026-07-21"
