rto_code,vehicle_category,fuel_type,vehicle_count,data_period,source_citation
DL8,ALL,CNG ONLY,105,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,DIESEL,942,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,DIESEL/HYBRID,11,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,ELECTRIC(BOV),296,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL,14480,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL/CNG,639,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL(E20),20395,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL(E20)/CNG,2491,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL(E20)/HYBRID,336,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL(E20)/HYBRID/CNG,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PETROL/HYBRID,375,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,PURE EV,4166,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL8,ALL,STRONG HYBRID EV,576,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,CNG ONLY,123,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,DIESEL,644,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,DIESEL/HYBRID,21,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,ELECTRIC(BOV),70,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL,1679,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL/CNG,556,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL(E20),14018,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL(E20)/CNG,1269,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL(E20)/HYBRID,228,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL(E20)/HYBRID/CNG,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL/HYBRID,555,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PETROL/HYBRID/CNG,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,PURE EV,4052,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL10,ALL,STRONG HYBRID EV,942,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,CNG ONLY,136,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,DIESEL,587,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,DIESEL/HYBRID,5,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,ELECTRIC(BOV),77,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL,6858,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL/CNG,316,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL(E20),13535,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL(E20)/CNG,1873,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL(E20)/HYBRID,354,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL(E20)/HYBRID/CNG,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL/HYBRID,100,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PETROL/HYBRID/CNG,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,PURE EV,2719,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL7,ALL,STRONG HYBRID EV,317,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL12,ALL,CNG ONLY,23,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL12,ALL,DIESEL,470,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL12,ALL,DIESEL/HYBRID,9,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL12,ALL,ELECTRIC(BOV),60,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL12,ALL,PETROL,509,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL12,ALL,PETROL/CNG,370,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
