zone,vehicle_emission_load_raw_g_per_day,vehicle_emission_load_index,n_vehicle_categories_included,data_asof,coverage_note,data_provenance
Anand Vihar,22561.92401560397,0.188,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Ashok Vihar,37540.907164775694,0.313,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Bawana,34892.06173091751,0.291,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Dwarka,92120.17753485056,0.768,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Jahangirpuri,34676.37892564684,0.289,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Mundka,57056.69162312881,0.476,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Narela,30857.200770013354,0.257,5,2026-07-22,5/6 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Okhla,29430.42992407616,0.245,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Punjabi Bagh,36785.97370107023,0.307,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
RK Puram,119992.29905773305,1.0,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Rohini,69568.44065656434,0.58,12,2026-07-22,12/14 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Vivek Vihar,22561.92401560397,0.188,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
Wazirpur,37540.907164775694,0.313,6,2026-07-22,6/7 vehicle_category+fuel_type combinations matched an emission factor and distance estimate. Excluded (no matching factor/distance data): two_wheeler/diesel.,"real, cited"
